deviceType,commandType,Command,command parameter,Description
Bot,command,turnOff,default,set to OFF state
Bot,command,turnOn,default,set to ON state
Bot,command,press,default,trigger press
Curtain,command,setPosition,"index0,mode0,position0e.g.0,ff,80","mode: 0 (Performance Mode), 1 (Silent Mode), ff (default mode)position: 0~100 (0 means open, 100 means closed)"
Curtain,command,turnOff,default,equivalent to set position to 100
Curtain,command,turnOn,default,equivalent to set position to 0
Curtain,command,pause,default,set to PAUSE state
Curtain 3,command,setPosition,"index0,mode0,position0e.g.0,ff,80","mode: 0 (Performance Mode), 1 (Silent Mode), ff (default mode)position: 0~100 (0 means open, 100 means closed)"
Curtain 3,command,turnOff,default,equivalent to set position to 100
Curtain 3,command,turnOn,default,equivalent to set position to 0
Curtain 3,command,pause,default,set to PAUSE state
Lock,command,lock,default,rotate to locked position
Lock,command,unlock,default,rotate to unlocked position
Lock,command,lock,default,rotate to locked position
Lock,command,unlock,default,rotate to unlocked position
Humidifier,command,turnOff,default,set to OFF state
Humidifier,command,turnOn,default,set to ON state
Humidifier,command,setMode,autoor101or102or103or{0~100},"auto, set to Auto Mode,101, set atomization efficiency to 34%,102, set atomization efficiency to 67%,103, set atomization efficiency to 100%"
Plug,command,turnOn,default,set to ON state
Plug,command,turnOff,default,set to OFF state
Plug Mini (US),command,turnOn,default,set to ON state
Plug Mini (US),command,turnOff,default,set to OFF state
Plug Mini (US),command,toggle,default,toggle state
Plug Mini (JP),command,turnOn,default,set to ON state
Plug Mini (JP),command,turnOff,default,set to OFF state
Plug Mini (JP),command,toggle,default,toggle state
Color Bulb,command,turnOn,default,set to ON state
Color Bulb,command,turnOff,default,set to OFF state
Color Bulb,command,toggle,default,toggle state
Color Bulb,command,setBrightness,{1-100},set brightness
Color Bulb,command,setColor,"""{0-255}:{0-255}:{0-255}""",set RGB color value
Color Bulb,command,setColorTemperature,{2700-6500},set color temperature
Strip Light,command,turnOn,default,set to ON state
Strip Light,command,turnOff,default,set to OFF state
Strip Light,command,toggle,default,toggle state
Strip Light,command,setBrightness,{1-100},set brightness
Strip Light,command,setColor,"""{0-255}:{0-255}:{0-255}""",set RGB color value
Robot Vacuum Cleaner S1,command,start,default,start vacuuming
Robot Vacuum Cleaner S1,command,stop,default,stop vacuuming
