key,valueType,deviceType,description
deviceId,String,Bot,device ID
deviceType,String,Bot,device type.Bot
power,String,Bot,ON/OFF state
battery,Integer,Bot,"the current battery level, 0-100"
version,String,Bot,"the current firmware version, e.g. V6.3"
deviceMode,String,Bot,"pressMode,switchMode, orcustomizeMode"
hubDeviceId,String,Bot,device's parent Hub ID
deviceId,String,Curtain,device ID
deviceType,String,Curtain,device type.Curtain
hubDeviceId,String,Curtain,device's parent Hub ID
calibrate,Boolean,Curtain,determines if the open position and the close position of a device have been properly calibrated or not
group,Boolean,Curtain,determines if a Curtain is paired with or grouped with another Curtain or not
moving,Boolean,Curtain,determines if a Curtain is moving or not
battery,Integer,Curtain,"the current battery level, 0-100"
version,String,Curtain,"the current firmware version, e.g. V4.2"
slidePosition,String,Curtain,the percentage of the distance between the calibrated open position and closed position that Curtain has traversed
deviceId,String,Curtain 3,device ID
deviceType,String,Curtain 3,device type.Curtain3
hubDeviceId,String,Curtain 3,device's parent Hub ID
calibrate,Boolean,Curtain 3,determines if the open position and the close position of a device have been properly calibrated or not
group,Boolean,Curtain 3,determines if a Curtain is paired with or grouped with another Curtain or not
moving,Boolean,Curtain 3,determines if a Curtain is moving or not
battery,Integer,Curtain 3,"the current battery level, 0-100"
version,String,Curtain 3,"the current firmware version, e.g. V4.2"
slidePosition,String,Curtain 3,the percentage of the distance between the calibrated open position and closed position that Curtain has traversed
deviceId,String,Meter,device ID
deviceType,String,Meter,device type.Meter
hubDeviceId,String,Meter,device's parent Hub ID
temperature,Float,Meter,temperature in celsius
version,String,Meter,"the current firmware version, e.g. V4.2"
battery,Integer,Meter,"the current battery level, 0-100"
humidity,Integer,Meter,humidity percentage
deviceId,String,Meter Plus,device ID
deviceType,String,Meter Plus,device type.MeterPlus
hubDeviceId,String,Meter Plus,device's parent Hub ID
battery,Integer,Meter Plus,"the current battery level, 0-100"
version,String,Meter Plus,"the current firmware version, e.g. V4.2"
temperature,Float,Meter Plus,temperature in celsius
humidity,Integer,Meter Plus,humidity percentage
deviceId,String,Outdoor Meter,device ID
deviceType,String,Outdoor Meter,device type.WoIOSensor
hubDeviceId,String,Outdoor Meter,device's parent Hub ID
battery,Integer,Outdoor Meter,"the current battery level, 0-100"
version,String,Outdoor Meter,"the current firmware version, e.g. V4.2"
temperature,Float,Outdoor Meter,temperature in celsius
humidity,Integer,Outdoor Meter,humidity percentage
deviceId,String,Lock,device ID
deviceType,String,Lock,device type.Smart Lock
hubDeviceId,String,Lock,device's parent Hub ID
battery,Integer,Lock,"the current battery level, 0-100"
version,String,Lock,"the current firmware version, e.g. V4.2"
lockState,String,Lock,determines if locked or not
doorState,String,Lock,determines if the door is closed or not
calibrate,Boolean,Lock,determines if Lock has been calibrated or not
deviceId,String,Lock Pro,device ID
deviceType,String,Lock Pro,device type.Smart Lock Pro
hubDeviceId,String,Lock Pro,device's parent Hub ID
battery,Integer,Lock Pro,"the current battery level, 0-100"
version,String,Lock Pro,"the current firmware version, e.g. V4.2"
lockState,String,Lock Pro,"determines if locked or not,jammed,unlockorlock"
doorState,String,Lock Pro,"determines if the door is closed or not,openorclose"
calibrate,Boolean,Lock Pro,determines if Lock has been calibrated or not
deviceId,String,Keypad,device ID
deviceType,String,Keypad,device type.Keypad
hubDeviceId,String,Keypad,device's parent Hub ID
