Key,Value Type,Description
deviceId,String,device ID
deviceType,String,device type.Bot
power,String,ON/OFF state
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V6.3"
deviceMode,String,"pressMode,switchMode, orcustomizeMode"
hubDeviceId,String,device's parent Hub ID
deviceId,String,device ID
deviceType,String,device type.Curtain
hubDeviceId,String,device's parent Hub ID
calibrate,Boolean,determines if the open position and the close position of a device have been properly calibrated or not
group,Boolean,determines if a Curtain is paired with or grouped with another Curtain or not
moving,Boolean,determines if a Curtain is moving or not
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
slidePosition,String,the percentage of the distance between the calibrated open position and closed position that Curtain has traversed
deviceId,String,device ID
deviceType,String,device type.Curtain3
hubDeviceId,String,device's parent Hub ID
calibrate,Boolean,determines if the open position and the close position of a device have been properly calibrated or not
group,Boolean,determines if a Curtain is paired with or grouped with another Curtain or not
moving,Boolean,determines if a Curtain is moving or not
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
slidePosition,String,the percentage of the distance between the calibrated open position and closed position that Curtain has traversed
deviceId,String,device ID
deviceType,String,device type.Meter
hubDeviceId,String,device's parent Hub ID
temperature,Float,temperature in celsius
version,String,"the current firmware version, e.g. V4.2"
battery,Integer,"the current battery level, 0-100"
humidity,Integer,humidity percentage
deviceId,String,device ID
deviceType,String,device type.MeterPlus
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
temperature,Float,temperature in celsius
humidity,Integer,humidity percentage
deviceId,String,device ID
deviceType,String,device type.WoIOSensor
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
temperature,Float,temperature in celsius
humidity,Integer,humidity percentage
deviceId,String,device ID
deviceType,String,device type.Smart Lock
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
lockState,String,determines if locked or not
doorState,String,determines if the door is closed or not
calibrate,Boolean,determines if Lock has been calibrated or not
deviceId,String,device ID
deviceType,String,device type.Smart Lock Pro
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
lockState,String,"determines if locked or not,jammed,unlockorlock"
doorState,String,"determines if the door is closed or not,openorclose"
calibrate,Boolean,determines if Lock has been calibrated or not
deviceId,String,device ID
deviceType,String,device type.Keypad
hubDeviceId,String,device's parent Hub ID
deviceId,String,device ID
deviceType,String,device type.Keypad Touch
hubDeviceId,String,device's parent Hub ID
deviceId,String,device ID
deviceType,String,device type.Motion Sensor
hubDeviceId,String,device's parent Hub ID
battery,Integer,"the current battery level, 0-100"
version,String,"the current firmware version, e.g. V4.2"
moveDetected,Boolean,determines if motion is detected
brightness,String,the ambient brightness picked up by the sensor.brightordim
deviceId,String,device ID
deviceType,String,device type.Contact Sensor
hubDeviceId,String,device's parent Hub ID
